countryorigin,countrydestination,origlon,origlat,destlon,destlat,Year,flights
United Kingdom,Brazil,-2.8531353951805545,53.91477348053706,-53.05434003576711,-10.806773643498916,2019,5919
Senegal,Italy,-14.50980278585943,14.354139988452022,12.140788372235871,42.751183052964265,2019,69187
France,Qatar,-2.8766966992706267,42.46070432663372,51.1835025789133,25.32185097420669,2019,12321
India,Thailand,79.59370376325381,22.92500640740852,101.00613354626108,15.01697499141648,2019,12637
Gambia,Spain,-15.431872807730835,13.47533435870166,-3.6170206023873743,40.348656106226734,2019,70367
Qatar,Nepal,51.1835025789133,25.32185097420669,84.01317367692529,28.23944001904935,2019,1048
Austria,Qatar,14.076158884337072,47.6139487927463,51.1835025789133,25.32185097420669,2019,12321
India,United Arab Emirates,79.59370376325381,22.92500640740852,54.20671476159633,23.86863365334761,2019,24319
United Kingdom,China,-2.8531353951805545,53.91477348053706,103.88361230063248,36.555066531858685,2019,4230
Saudi Arabia,Germany,44.51636376826477,24.123289839105293,10.288485092742851,51.13372269040778,2019,113196
Australia,New Zealand,134.50277547536595,-25.73065477972608,172.70192594405574,-41.66257875715869,2019,6045
Canada,Netherlands,-98.14238137209708,61.46907614534896,5.512217100965399,52.298700374441786,2019,38218
Japan,Taiwan,138.06496213270776,37.66311081170466,120.97480073748623,23.740964979784938,2019,11067
Ireland,United Arab Emirates,-8.010236544877012,53.18059120995006,54.20671476159633,23.86863365334761,2019,24319
France,Greece,-2.8766966992706267,42.46070432663372,22.719813447095053,39.06671589971396,2019,24004
Turkey,Germany,35.116900150938406,39.06837194061471,10.288485092742851,51.13372269040778,2019,113196
Canada,China,-98.14238137209708,61.46907614534896,103.88361230063248,36.555066531858685,2019,4230
Germany,Israel,10.288485092742851,51.13372269040778,35.003851206429005,31.4849193900197,2019,8507
Thailand,China,101.00613354626108,15.01697499141648,103.88361230063248,36.555066531858685,2019,4230
United Arab Emirates,United Kingdom,54.20671476159633,23.86863365334761,-2.8531353951805545,53.91477348053706,2019,133762
United States of America,Hungary,-112.5994359115045,45.70562800215178,19.35762862774592,47.19995117195427,2019,9624
France,South Africa,-2.8766966992706267,42.46070432663372,25.04801387986168,-28.947033259979115,2019,2883
Saudi Arabia,India,44.51636376826477,24.123289839105293,79.59370376325381,22.92500640740852,2019,15268
